Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Price,Discounted price
تی شرت Oversize طرح teddy,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-teddy-3/,http://www.ustclothing.com/wp-content/uploads/2021/03/teddy-3.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح teddy,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-teddy-2/,http://www.ustclothing.com/wp-content/uploads/2021/03/teddy-2.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح teddy,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-teddy/,http://www.ustclothing.com/wp-content/uploads/2021/03/teddy-1.jpg,[],[],[],[],2250000,2250000
تی شرت کلاسیک طرح Rock,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-%da%a9%d9%84%d8%a7%d8%b3%db%8c%da%a9-%d8%b7%d8%b1%d8%ad-rock/,http://www.ustclothing.com/wp-content/uploads/2020/07/fun004b.png,[],[],[],[],2050000,2050000
تی شرت Oversize طرح Just Do It… Later,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-just-do-it-later/,http://www.ustclothing.com/wp-content/uploads/2020/07/fun003-b.png,[],[],[],[],2250000,2250000
تی شرت Oversize طرح van Gogh,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-van-gogh/,http://www.ustclothing.com/wp-content/uploads/2020/07/fun002b.png,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Engineer,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-engineer/,http://www.ustclothing.com/wp-content/uploads/2020/07/engineer005b.png,[],[],[],[],2250000,2250000
تی شرت Oversize طرح What part of,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-what-part-of/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0014b.png,[],[],[],[],2250000,2250000
تی شرت کلاسیک طرح My PIN,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-%da%a9%d9%84%d8%a7%d8%b3%db%8c%da%a9-%d8%b7%d8%b1%d8%ad-my-pin/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0013b.png,[],[],[],[],2050000,2050000
تی شرت Oversize طرح Electrical Engineer,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-electrical-engineer-2/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0012b.png,[],[],[],[],2250000,2250000
تی شرت Oversize طرح circuit,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-circuit/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0011b.png,[],[],[],[],2250000,2250000
تی شرت کلاسیک طرح Computer Whisperer,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-%da%a9%d9%84%d8%a7%d8%b3%db%8c%da%a9-%d8%b7%d8%b1%d8%ad-computer-whisperer/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0010b.png,[],[],[],[],2050000,2050000
تی شرت Oversize طرح Civil Engineer,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-civil-engineer/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0009b.png,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Certified Electrician,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-certified-electrician/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0008b.png,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Electrical Engineer,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-electrical-engineer/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0007b.png,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Tesla,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-tesla/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0006b.png,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Before you Bother me,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-before-you-bother-me/,http://www.ustclothing.com/wp-content/uploads/2020/07/edu0005b.png,[],[],[],[],2250000,2250000
